corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
arta	hapon	0001	#	#	##	##				
arta	hapon	0001	Aydi:ti	before	other	other				
arta	hapon	0002	historia	story	np:pred	np		pred		
arta	hapon	0002	na	GEN	rn	rn				
arta	hapon	0002	ama	father	rn_np.h:poss	rn_np	h	poss		
arta	hapon	0002	=ko	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	hapon	0002	=ti	=SPC	=rn	=rn				
arta	hapon	0002	aydi:ti	before	other	other				
arta	hapon	0002	ta	OBL	ln	ln				
arta	hapon	0002	tyempo	time	np:other	np		other		
arta	hapon	0002	na	GEN	rn	rn				
arta	hapon	0002	hapon	Japan(ese)	rn_np.h:poss	rn_np	h	poss		
arta	hapon	0003	#	#	##	##				
arta	hapon	0003	tyempo	time	np:pred	np		pred		
arta	hapon	0003	na	GEN	rn	rn				
arta	hapon	0003	hapon	Japan(ese)	rn_np.h:poss	rn_np	h	poss		
arta	hapon	0003	=di:ti	=before	=other	=other				
arta	hapon	0004	#	#	##neg	##neg				
arta	hapon	0004	#	#	#ac	#ac				
arta	hapon	0004	Amma	if	other	other				
arta	hapon	0004	biyungèt	night	np:other	np		other		
arta	hapon	0004	amma	if	other	other				
arta	hapon	0004	munata	like.that	ap_other:pred	ap_other		pred		
arta	hapon	0004	i	DEF	ln	ln				
arta	hapon	0004	langit	sky	np:s_other	np		s_other		
arta	hapon	0005	%	%	%	%				
arta	hapon	0005	awan	NEG	other	other				
arta	hapon	0005	ta	OBL	ln	ln				
arta	hapon	0005	man-tungpa	AV-put.on.fire	vother:pred	vother		pred		
arta	hapon	0005	0	0	f0.h:s_a	f0	h	s_a		
arta	hapon	0005	#	#	##neg	##neg				
arta	hapon	0005	awan	NEG	other	other				
arta	hapon	0005	ta	OBL	ln	ln				
arta	hapon	0005	mangalap	AV-get	vother:pred	vother		pred		
arta	hapon	0005	0	0	f0.h:a_a	f0	h	a_a		
arta	hapon	0005	ta	OBL	ln	ln				
arta	hapon	0005	dut	firewood	np:p_a	np		p_a		
arta	hapon	0005	#	#	##	##				
arta	hapon	0005	#	#	#ac	#ac				
arta	hapon	0005	Awan	NEG	other	other				
arta	hapon	0006	Basta	just	other	other				
arta	hapon	0006	amma	if	other	other				
arta	hapon	0006	atti:	exist	other	other				
arta	hapon	0006	naka:lap	UV.POT-get	v:pred	v		pred		
arta	hapon	0006	amma	father	np.h:a_u	np	h	a_u		
arta	hapon	0006	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	hapon	0006	=ti	=SPC	=rn	=rn				
arta	hapon	0006	ta	OBL	ln	ln				
arta	hapon	0006	laman	wild.pig	np:p_u	np		p_u		
arta	hapon	0007	%	%	%	%				
arta	hapon	0007	Basta	just	other	other				
arta	hapon	0007	i-ttun	UV-place	v:pred	v		pred		
arta	hapon	0007	=di	=POST	=pro.h:a_u	=pro	h	a_u		
arta	hapon	0007	=ta	=DEM.DIST.OBL	=dem_pro:g_u	=dem_pro		g_u		
arta	hapon	0007	0	0	0:p_u	0		p_u		
arta	hapon	0007	#	#	##neg	##neg				
arta	hapon	0007	awan	NEG	other	other				
arta	hapon	0007	=tid	=3PL.ABS	=pro.h:a_a	=pro	h	a_a		
arta	hapon	0007	mangalap	AV-get	v:pred	v		pred		
arta	hapon	0007	ta	OBL	ln	ln				
arta	hapon	0007	dut	firewood	np:p_a	np		p_a		
arta	hapon	0008	#	#	##neg	##neg				
arta	hapon	0008	du:tungan	singe-LV	vother	vother				
arta	hapon	0008	=di	=3PL.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
arta	hapon	0008	awan	NEG	other	other				
arta	hapon	0008	=di	=3PL.GEN	=pro.h:a_u	=pro	h	a_u		
arta	hapon	0008	du:tungan	singe.UV	v:pred	v		pred		
arta	hapon	0008	0	0	0:p_u	0		p_u		
arta	hapon	0009	#	#	##	##				
arta	hapon	0009	Basta	just	other	other				
arta	hapon	0009	mang-anting	AV-afraid	v:pred	v		pred		
arta	hapon	0009	=tid	=3PL.ABS	=pro.h:a_a	=pro	h	a_a		
arta	hapon	0009	ti	OBL.DEF	ln	ln				
arta	hapon	0009	hapo:n	Japan(ese)	np.h:p_a	np	h	p_a		
arta	hapon	0009	=i	=SPC	=other	=other				
arta	hapon	0010	#	#	##	##				
arta	hapon	0010	Mang-anting	AV-afraid	v:pred	v		pred		
arta	hapon	0010	=tid	=3PL.ABS	=pro.h:a_a	=pro	h	a_a		
arta	hapon	0010	ta	OBL	ln	ln				
arta	hapon	0010	hapon	Japan(ese)	np.h:p_a	np	h	p_a		
arta	hapon	0010	#	#	#ac	#ac				
arta	hapon	0010	da	because	other	other				
arta	hapon	0010	me'a:du	ADJ-plenty	ln	ln				
arta	hapon	0010	a	LIG	ln	ln				
arta	hapon	0010	hapon	Japan(ese)	np:predex	np		predex		
arta	hapon	0011	#	#	##	##				
arta	hapon	0011	#	#	#ac	#ac				
arta	hapon	0011	Ba:go	before	other	other				
arta	hapon	0011	=tid	=3PL.ABS	=pro.h:a_a	=pro	h	a_a		
arta	hapon	0011	manwa	AV-PLH	nc	nc				
arta	hapon	0011	man-tumpa	AV-put.on.fire	v:pred	v		pred		
arta	hapon	0011	ta	OBL	ln	ln				
arta	hapon	0011	dut	fire/firewood	np:p_a	np		p_a		
arta	hapon	0012	%	%	%	%				
arta	hapon	0012	a	LIG	other	other				
arta	hapon	0012	idu:tung	UV-singe	v:pred	v		pred		
arta	hapon	0012	=di	=3PL.GEN	=pro.h:a_u	=pro	h	a_u		
arta	hapon	0012	laman	wild.pig	np:p_u	np		p_u		
arta	hapon	0012	=i	=SPC	=rn	=rn				
arta	hapon	0013	#	#	#ac	#ac				
arta	hapon	0013	amma	if	other	other				
arta	hapon	0013	biyungut	night(time)	np:pred	np		pred		
arta	hapon	0013	=di	=POST	=other	=other				
arta	hapon	0014	#	#	#ac.neg	#ac.neg				
arta	hapon	0014	da	because	other	other				
arta	hapon	0014	awan	NEG	other:pred	other		pred		
arta	hapon	0014	=de:	=POST:OBL	=other	=other				
arta	hapon	0014	ta	OBL	ln	ln				
arta	hapon	0014	hapon	Japan(ese)	np.h:ncs_other	np	h	ncs_other		
arta	hapon	0015	#	#	##	##				
arta	hapon	0015	munata	like.that	ap_other:pred	ap_other		pred		
arta	hapon	0015	i	DEF	ln	ln				
arta	hapon	0015	wa	PLH	np:s_other	np		s_other		
arta	hapon	0015	=di	=3PL.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
arta	hapon	0016	#	#	##	##				
arta	hapon	0016	paw-wa	PRG-PLH	nc	nc				
arta	hapon	0016	=di	=3PL.GEN	nc	nc				
arta	hapon	0016	ta	OBL	nc	nc				
arta	hapon	0016	hapon	Japan(ese)	nc	nc				
arta	hapon	0016	pang-anting	NF-afraid	vother:pred	vother		pred		
arta	hapon	0016	=di	=3PL.GEN	=pro.h:ncs	=pro	h	ncs		
arta	hapon	0016	ta	OBL	ln	ln				
arta	hapon	0016	hapon	Japan(ese)	np.h:obl	np	h	obl		
arta	hapon	0017	#	#	##	##				
arta	hapon	0017	#	#	#ac	#ac				
arta	hapon	0017	amma	if	other	other				
arta	hapon	0017	atti	exist	other	other				
arta	hapon	0017	ittan	see.PV	v:pred	v		pred		
arta	hapon	0017	na	GEN	ln	ln				
arta	hapon	0017	hapon	Japan(ese)	np.h:a_u	np	h	a_u		
arta	hapon	0017	#	#	#cc:p_u	#cc		p_u		
arta	hapon	0017	a	LIG	other	other				
arta	hapon	0017	mang-wa	AV-PLH	v:pred	v		pred		
arta	hapon	0017	a	LIG	other	other				
arta	hapon	0017	asuk	smoke	np:s_a	np		s_a		
arta	hapon	0018	%	%	%	%				
arta	hapon	0018	Puna-n	like.that-PV	v:pred	v		pred		
arta	hapon	0018	=di	=3PL.GEN	=pro.h:a_u	=pro	h	a_u		
arta	hapon	0018	ta	DEM.DIST.OBL	dem_pro:p_u	dem_pro		p_u		
arta	hapon	0018	#	#	#	#				
arta	hapon	0018	pala-palattog-an	RDP-shoot-LV	v:pred	v		pred		
arta	hapon	0018	=di	=3PL.GEN	=pro.h:a_u	=pro	h	a_u		
arta	hapon	0018	0	0	0.h:p_u	0	h	p_u		
arta	hapon	0019	#	#	##neg	##neg				
arta	hapon	0019	#	#	#ac	#ac				
arta	hapon	0019	amma	if	other	other				
arta	hapon	0019	atti:	exist	other	other				
arta	hapon	0019	=di	=POST	=other	=other				
